Player,FG,FGA,XP,FPTS
"Justin Tucker, BAL",33,37,40,149
"Mason Crosby, GB",31,36,43,144
"Connor Barth, DEN",30,33,46,140
"Dan Carpenter, BUF",32,36,33,139
"Matt Bryant, ATL",30,33,37,139
"Chandler Catanzaro, ARI",34,38,31,139
"Stephen Gostkowski, NE",31,33,41,138
"Cody Parkey, PHI",29,33,43,138
"Adam Vinatieri, IND",30,33,41,137
"Dan Bailey, DAL",27,32,42,135
"Blair Walsh, MIN",29,37,36,133
"Steven Hauschka, SEA",30,34,37,131
"Garrett Hartley, PIT",30,38,36,130
"Greg Zuerlein, STL",27,33,32,121
"Shaun Suisham, PIT",27,29,36,121
"Caleb Sturgis, MIA",27,35,32,119
"Graham Gano, CAR",27,32,34,119
"Phil Dawson, SF",26,32,30,118
"Josh Brown, NYG",25,28,36,117
"Nick Folk, NYJ",27,32,31,116
"Matt Prater, DET",25,29,33,116
"Cairo Santos, KC",24,29,39,115
"Mike Nugent, CIN",25,31,34,113
"Dustin Hopkins, NO",23,27,39,112
"Nick Novak, SD",24,28,32,110
"Randy Bullock, HOU",24,29,27,105
"Kai Forbath, WAS",22,25,31,101
"Sebastian Janikowski, OAK",22,27,28,100
"Travis Coons, CLE",22,27,29,99
"Patrick Murray, TB",20,24,29,99
"Ryan Succop, TEN",21,24,28,95
"Josh Scobee, JAC",21,26,26,95
"Robbie Gould, CHI",18,22,35,91
"Brandon McManus, DEN",0,0,1,1
