Player Name , Team ,fpts 
Stephen Gostkowski,NE,135.7
Justin Tucker,BAL,130.3
Mason Crosby,GB,129.9
Connor Barth,DEN,129.4
Steven Hauschka,SEA,129
Cody Parkey,PHI,128.5
Adam Vinatieri,IND,126.6
Dan Bailey,DAL,123.9
Matt Bryant,ATL,121.7
Garrett Hartley,PIT,120.6
Chandler Catanzaro,ARI,119.7
Dan Carpenter,BUF,118.3
Dustin Hopkins,NO,117.4
Josh Brown,NYG,116.5
Blair Walsh,MIN,115.6
Graham Gano,CAR,114.7
Caleb Sturgis,MIA,114.5
Phil Dawson,SF,114.2
Nick Novak,SD,113.7
Cairo Santos,KC,113.1
Nick Folk,NYJ,112.2
Randy Bullock,HOU,111.9
Greg Zuerlein,STL,111.3
Mike Nugent,CIN,109.9
Matt Prater,DET,108.6
Kai Forbath,WAS,105.9
Sebastian Janikowski,OAK,105.7
Robbie Gould,CHI,105
Patrick Murray,TB,100.7
Travis Coons,CLE,100.6
Ryan Succop,TEN,100.3
Carey Spear,CLE,97.3
Josh Scobee,JAC,96.8
Brandon McManus,DEN,1.6
