Player Name , Team ,fpts 
Aaron Rodgers,GB,327.1
Andrew Luck,IND,324.9
Russell Wilson,SEA,299.7
Peyton Manning,DEN,297.4
Drew Brees,NO,293.8
Matt Ryan,ATL,281
Cam Newton,CAR,273.1
Ben Roethlisberger,PIT,270.2
Tony Romo,DAL,268.5
Matthew Stafford,DET,264.6
Ryan Tannehill,MIA,261
Philip Rivers,SD,256.9
Eli Manning,NYG,253.7
Colin Kaepernick,SF,251.2
Joe Flacco,BAL,243.9
Jay Cutler,CHI,242.5
Teddy Bridgewater,MIN,239.8
Carson Palmer,ARI,230.8
Sam Bradford,PHI,229.3
Alex Smith,KC,228.9
Andy Dalton,CIN,220.4
Marcus Mariota,TEN,220.1
Robert Griffin III,WAS,218.1
Jameis Winston,TB,217.9
Tom Brady,NE,216
Blake Bortles,JAC,207.1
Nick Foles,STL,206.4
Derek Carr,OAK,204.3
Josh McCown,CLE,162.7
Ryan Fitzpatrick,NYJ,139.8
Brian Hoyer,HOU,134.2
Matt Cassel,BUF,130.4
Geno Smith,NYJ,84.7
Ryan Mallett,HOU,67.5
Tyrod Taylor,BUF,54.4
Jimmy Garoppolo,NE,53.8
Johnny Manziel,CLE,31.9
Mark Sanchez,PHI,28.5
Kirk Cousins,WAS,20.7
E.J. Manuel,BUF,17.6
Kellen Moore,DET,13.9
B.J. Daniels,SEA,12.1
Drew Stanton,ARI,10.4
Derek Anderson,CAR,10.4
Brandon Weeden,DAL,9.6
Jimmy Clausen,CHI,8.9
Zach Mettenberger,TEN,8.8
Austin Davis,STL,8.2
Chase Daniel,KC,7.7
Mike Glennon,TB,7.5
Blaine Gabbert,SF,7.5
Bruce Gradkowski,PIT,7
Shaun Hill,MIN,6.3
Chad Henne,JAC,6.3
Scott Tolzien,GB,4.6
Christian Ponder,OAK,4.3
Ryan Nassib,NYG,3.5
Luke McCown,NO,3.2
Matt Hasselbeck,IND,3.2
Kellen Clemens,SD,2.8
Brock Osweiler,DEN,2.6
Matt Schaub,BAL,2.3
Matt Moore,MIA,1.9
Josh Johnson,CIN,1.7
Colt McCoy,WAS,1.4
Taylor Yates,ATL,1.2
Matt McGloin,OAK,0.9
Tarvaris Jackson,SEA,0.8
AJ McCarron,CIN,0.6
Dan Orlovsky,DET,0.6
Ryan Lindley,NE,0.2
Bryce Petty,NYJ,0.2
Chandler Harnish,ARI,0
Case Keenum,STL,0
Sean Renfree,ATL,0
Matt Simms,BUF,0
Joe Webb,CAR,0
Matt Barkley,PHI,0
Charlie Whitehurst,TEN,0
Landry Jones,PIT,0
Ricky Stanzi,NYG,0
Tim Tebow,PHI,0
Mike Kafka,MIN,0
Logan Thomas,ARI,0
Brett Hundley,GB,0
Garrett Grayson,NO,0
Tom Savage,HOU,0
